customer_id,customer_type,country,segment,signup_date
C0001,Business,Spain,SME,2025-12-02
C0002,Individual,Spain,Standard,2025-12-28
C0003,Business,Germany,Standard,2025-12-16
C0004,Individual,United Kingdom,Standard,2025-07-22
C0005,Individual,Ireland,Premium,2025-03-15
C0006,Business,France,Standard,2025-11-03
C0007,Business,Germany,SME,2025-10-20
C0008,Business,United Kingdom,Premium,2025-12-28
C0009,Individual,Netherlands,Standard,2025-08-26
C0010,Individual,United Kingdom,SME,2025-02-21
C0011,Individual,Spain,SME,2025-07-03
C0012,Business,United Kingdom,Standard,2025-06-13
C0013,Individual,United Kingdom,Standard,2025-11-04
C0014,Business,Ireland,Standard,2025-05-24
C0015,Individual,United Kingdom,Standard,2025-04-30
C0016,Individual,United Kingdom,Standard,2025-01-30
C0017,Individual,France,SME,2025-11-01
C0018,Individual,Ireland,Standard,2025-10-03
C0019,Business,United Kingdom,Standard,2025-01-16
C0020,Individual,United Kingdom,Premium,2025-06-08
C0021,Business,Ireland,Standard,2025-06-25
C0022,Individual,Spain,SME,2025-06-21
C0023,Business,Germany,SME,2025-12-02
C0024,Business,United Kingdom,Standard,2025-02-24
C0025,Business,United Kingdom,Standard,2025-04-22
C0026,Individual,United Kingdom,SME,2025-03-08
C0027,Individual,United Kingdom,Premium,2025-03-31
C0028,Individual,Netherlands,SME,2025-11-28
C0029,Individual,United Kingdom,Standard,2025-12-10
C0030,Individual,Germany,SME,2025-01-17
C0031,Business,Netherlands,Premium,2025-08-19
C0032,Business,France,Standard,2025-03-26
C0033,Individual,United Kingdom,Premium,2025-03-12
C0034,Individual,Ireland,Premium,2025-04-17
C0035,Individual,Netherlands,Standard,2025-03-12
C0036,Individual,Netherlands,Standard,2025-06-28
C0037,Individual,United Kingdom,SME,2025-12-30
C0038,Individual,United Kingdom,Standard,2025-08-03
C0039,Individual,Spain,Standard,2025-09-21
C0040,Individual,Germany,Standard,2025-06-30
C0041,Individual,United Kingdom,Standard,2025-01-06
C0042,Business,Germany,SME,2025-01-31
C0043,Individual,France,SME,2025-04-09
C0044,Individual,Spain,Standard,2025-03-30
C0045,Business,United Kingdom,SME,2025-11-03
C0046,Business,Spain,SME,2025-11-04
C0047,Individual,United Kingdom,Standard,2025-11-08
C0048,Individual,France,SME,2025-08-21
C0049,Individual,France,Standard,2025-07-23
C0050,Individual,United Kingdom,SME,2025-08-25
C0051,Individual,United Kingdom,Premium,2025-05-29
C0052,Individual,Germany,Premium,2025-09-02
C0053,Business,Spain,Standard,2025-10-17
C0054,Individual,France,SME,2025-10-06
C0055,Individual,Spain,Standard,2025-08-13
C0056,Business,Ireland,Standard,2025-01-22
C0057,Individual,Germany,Standard,2025-09-22
C0058,Individual,Ireland,SME,2025-05-14
C0059,Individual,United Kingdom,Standard,2025-09-29
C0060,Individual,United Kingdom,SME,2025-07-16
C0061,Individual,Ireland,Premium,2025-11-18
C0062,Individual,Ireland,Standard,2025-05-04
C0063,Individual,United Kingdom,Standard,2025-12-06
C0064,Business,France,Standard,2025-11-05
C0065,Individual,France,Premium,2025-05-01
C0066,Individual,Ireland,SME,2025-06-26
C0067,Individual,France,Standard,2025-07-13
C0068,Individual,Germany,SME,2025-10-08
C0069,Individual,Germany,Standard,2025-09-09
C0070,Individual,Germany,SME,2025-11-07
C0071,Individual,France,SME,2025-05-16
C0072,Individual,Ireland,SME,2025-07-04
C0073,Business,Germany,Premium,2025-06-07
C0074,Individual,United Kingdom,SME,2025-11-28
C0075,Individual,United Kingdom,Standard,2025-04-22
C0076,Individual,Netherlands,Standard,2025-08-03
C0077,Individual,Ireland,Standard,2025-02-13
C0078,Individual,United Kingdom,Standard,2025-11-07
C0079,Individual,United Kingdom,Premium,2025-05-21
C0080,Business,France,Premium,2025-05-05
C0081,Individual,United Kingdom,SME,2025-08-01
C0082,Individual,Ireland,Standard,2025-07-02
C0083,Business,United Kingdom,Premium,2025-11-06
C0084,Individual,United Kingdom,Standard,2025-07-13
C0085,Individual,Spain,Standard,2025-07-08
C0086,Individual,United Kingdom,Premium,2025-02-08
C0087,Business,United Kingdom,SME,2025-01-09
C0088,Individual,United Kingdom,Premium,2025-05-26
C0089,Individual,United Kingdom,Standard,2025-12-31
C0090,Individual,United Kingdom,Premium,2025-12-01
C0091,Individual,United Kingdom,Standard,2025-08-18
C0092,Individual,United Kingdom,SME,2025-08-19
C0093,Individual,United Kingdom,Premium,2025-05-23
C0094,Individual,France,Standard,2025-03-06
C0095,Individual,Netherlands,Standard,2025-01-04
