transaction_id,customer_id,transaction_date,amount,currency,payment_method,status,country,failure_reason
TX00001,C0025,2026-06-29,1350.53,EUR,Digital Wallet,Failed,Spain,Insufficient Funds
TX00002,C0078,2026-06-21,562.82,EUR,Bank Transfer,Successful,Germany,
TX00003,C0066,2026-05-31,232.89,GBP,Debit Card,Successful,France,
TX00004,C0007,2026-02-16,330.34,GBP,Debit Card,Successful,Spain,
TX00005,C0037,2026-04-25,551.3,GBP,Debit Card,Successful,United Kingdom,
TX00006,C0097,2026-04-08,534.8,GBP,Debit Card,Successful,Spain,
TX00007,C0067,2026-04-23,479.51,GBP,Bank Transfer,Successful,France,
TX00008,C0179,2026-04-22,504.61,EUR,Digital Wallet,Successful,Netherlands,
TX00009,C0087,2026-04-26,431.72,GBP,Digital Wallet,Successful,United Kingdom,
TX00010,C0173,2026-04-04,152.07,EUR,Credit Card,Failed,France,Bank Timeout
TX00011,C0119,2026-05-05,333.94,EUR,Credit Card,Successful,Netherlands,
TX00012,C0008,2026-04-06,1127.13,GBP,Debit Card,Successful,Germany,
TX00013,C0037,2026-01-03,161.89,GBP,Debit Card,Successful,United Kingdom,
TX00014,C0128,2026-01-07,440.93,GBP,Bank Transfer,Successful,United Kingdom,
TX00015,C0099,2026-06-23,258.06,EUR,Credit Card,Successful,Ireland,
TX00016,C0055,2026-06-14,569.44,GBP,Bank Transfer,Successful,United Kingdom,
TX00017,C0094,2026-04-16,372.29,EUR,Digital Wallet,Successful,Netherlands,
TX00018,C0163,2026-02-01,1818.53,EUR,Debit Card,Successful,Spain,
TX00019,C0070,2026-05-22,796.79,EUR,Debit Card,Successful,United Kingdom,
TX00020,C0009,2026-01-26,169.86,USD,Debit Card,Successful,United Kingdom,
TX00021,C0056,2026-03-10,916.48,EUR,Digital Wallet,Successful,Netherlands,
TX00022,C0169,2026-03-01,268.15,EUR,Bank Transfer,Failed,United Kingdom,Card Declined
TX00023,C0138,2026-01-03,317.21,EUR,Bank Transfer,Successful,France,
TX00024,C0151,2026-05-27,676.37,EUR,Bank Transfer,Successful,Netherlands,
TX00025,C0165,2026-04-03,341.05,EUR,Credit Card,Successful,France,
TX00026,C0022,2026-02-27,1106.47,USD,Digital Wallet,Successful,Germany,
TX00027,C0051,2026-04-02,268.18,GBP,Bank Transfer,Successful,Netherlands,
TX00028,C0011,2026-01-01,306.09,EUR,Digital Wallet,Successful,France,
TX00029,C0001,2026-03-21,296.51,GBP,Bank Transfer,Successful,United Kingdom,
TX00030,C0151,2026-04-05,320.28,EUR,Credit Card,Successful,France,
TX00031,C0169,2026-03-03,1318.58,GBP,Bank Transfer,Successful,Spain,
TX00032,C0029,2026-05-31,884.02,EUR,Debit Card,Failed,Netherlands,Invalid Account Details
TX00033,C0130,2026-02-15,2215.99,EUR,Credit Card,Successful,Germany,
TX00034,C0097,2026-01-25,3559.94,USD,Debit Card,Successful,United Kingdom,
TX00035,C0013,2026-04-06,215.7,GBP,Bank Transfer,Successful,United Kingdom,
TX00036,C0165,2026-06-10,549.97,EUR,Digital Wallet,Successful,United Kingdom,
