transaction_id,expected_amount,settled_amount,settlement_status,settlement_date
TX00002,562.82,562.82,Matched,2026-06-24
TX00003,232.89,232.89,Matched,2026-06-03
TX00004,330.34,330.34,Matched,2026-02-19
TX00005,551.3,551.3,Matched,2026-04-28
TX00006,534.8,534.8,Matched,2026-04-09
TX00007,479.51,479.51,Matched,2026-04-25
TX00008,504.61,0.0,Unsettled,2026-04-23
TX00009,431.72,431.72,Matched,2026-04-29
TX00011,333.94,333.94,Matched,2026-05-07
TX00012,1127.13,1127.13,Matched,2026-04-09
TX00013,161.89,161.89,Matched,2026-01-06
TX00014,440.93,440.93,Matched,2026-01-09
TX00015,258.06,258.06,Matched,2026-06-24
TX00016,569.44,569.44,Matched,2026-06-18
TX00017,372.29,372.29,Matched,2026-04-18
TX00018,1818.53,1818.53,Matched,2026-02-02
TX00019,796.79,796.79,Matched,2026-05-24
TX00020,169.86,169.86,Matched,2026-01-30
TX00021,916.48,916.48,Matched,2026-03-12
TX00023,317.21,317.21,Matched,2026-01-07
TX00024,676.37,676.37,Matched,2026-05-29
TX00025,341.05,341.05,Matched,2026-04-07
TX00026,1106.47,1106.47,Matched,2026-03-02
TX00027,268.18,268.18,Matched,2026-04-03
TX00029,296.51,296.51,Matched,2026-03-24
TX00030,320.28,320.28,Matched,2026-04-07
TX00031,1318.58,1318.58,Matched,2026-03-04
TX00033,2215.99,2215.99,Matched,2026-02-18
TX00034,3559.94,3559.94,Matched,2026-01-26
TX00035,215.7,215.7,Matched,2026-04-09
TX00036,549.97,549.97,Matched,2026-06-14
TX00037,190.61,190.61,Matched,2026-03-10
TX00038,267.48,267.48,Matched,2026-01-11
TX00039,303.21,303.21,Matched,2026-06-28
TX00040,210.91,210.91,Matched,2026-03-23
TX00041,211.85,0.0,Unsettled,2026-02-03
TX00042,458.22,458.22,Matched,2026-04-24
TX00043,184.16,184.16,Matched,2026-02-28
TX00044,1059.77,1059.77,Matched,2026-06-23
TX00045,237.44,237.44,Matched,2026-02-25
TX00046,5642.79,5642.79,Matched,2026-04-14
TX00048,550.71,550.71,Matched,2026-02-16
TX00049,172.25,172.25,Matched,2026-04-05
TX00050,2208.74,2208.74,Matched,2026-01-24
TX00052,666.73,666.73,Matched,2026-05-21
TX00053,164.88,164.88,Matched,2026-06-23
TX00054,619.6,619.6,Matched,2026-03-02
TX00055,199.69,199.69,Matched,2026-02-25
TX00056,1795.43,0.0,Unsettled,2026-04-12
TX00057,1030.52,1030.52,Matched,2026-05-09
TX00059,65.31,65.31,Matched,2026-01-06
TX00060,224.55,224.55,Matched,2026-02-17
TX00061,929.45,929.45,Matched,2026-02-20
TX00063,1329.81,1329.81,Matched,2026-03-27
TX00064,133.86,133.86,Matched,2026-06-10
TX00066,1228.06,1228.06,Matched,2026-05-30
TX00067,126.52,126.52,Matched,2026-04-23
TX00068,514.54,514.54,Matched,2026-04-26
TX00069,653.78,653.78,Matched,2026-05-07
TX00070,401.16,401.16,Matched,2026-01-25
TX00071,107.3,107.3,Matched,2026-05-18
TX00072,392.74,392.74,Matched,2026-02-16
TX00075,320.87,272.98,Mismatch,2026-04-21
TX00078,754.52,754.52,Matched,2026-03-31
TX00079,399.91,399.91,Matched,2026-01-10
TX00080,365.69,365.69,Matched,2026-05-16
TX00081,560.32,560.32,Matched,2026-01-23
TX00082,101.21,101.21,Matched,2026-03-26
TX00083,777.03,777.03,Matched,2026-05-03
TX00086,1172.18,1172.18,Matched,2026-03-11
TX00087,98.5,98.5,Matched,2026-01-05
TX00089,653.76,653.76,Matched,2026-04-13
TX00091,598.63,598.63,Matched,2026-05-20
TX00092,349.74,349.74,Matched,2026-03-31
TX00095,781.63,781.63,Matched,2026-04-13
TX00096,415.01,415.01,Matched,2026-02-01
TX00097,86.35,86.35,Matched,2026-04-27
TX00098,996.1,996.1,Matched,2026-02-21
TX00099,1463.33,1463.33,Matched,2026-05-11
TX00100,895.94,895.94,Matched,2026-05-27
TX00101,245.26,245.26,Matched,2026-06-07
TX00102,918.48,918.48,Matched,2026-06-22
TX00103,1076.48,1076.48,Matched,2026-01-27
TX00104,1948.85,1948.85,Matched,2026-01-29
TX00105,245.99,245.99,Matched,2026-06-20
TX00106,427.31,427.31,Matched,2026-03-14
TX00107,977.68,977.68,Matched,2026-01-08
TX00108,543.92,543.92,Matched,2026-02-24
TX00109,200.39,200.39,Matched,2026-06-02
TX00110,736.88,736.88,Matched,2026-03-09
TX00111,847.14,847.14,Matched,2026-01-17
TX00112,558.23,552.25,Mismatch,2026-05-15
TX00115,1819.9,1819.9,Matched,2026-01-05
TX00116,240.91,240.91,Matched,2026-04-21
TX00117,314.43,314.43,Matched,2026-03-24
TX00118,522.87,522.87,Matched,2026-06-10
TX00119,1093.47,1093.47,Matched,2026-03-06
TX00120,145.07,145.07,Matched,2026-02-08
TX00121,170.08,132.85,Mismatch,2026-02-02
TX00122,91.65,0.0,Unsettled,2026-02-10
TX00123,532.61,532.61,Matched,2026-03-24
TX00124,200.22,200.22,Matched,2026-01-20
TX00125,373.58,373.58,Matched,2026-03-15
TX00126,908.84,908.84,Matched,2026-06-05
TX00127,300.27,300.27,Matched,2026-05-23
TX00129,401.64,401.64,Matched,2026-06-14
TX00130,917.17,857.63,Mismatch,2026-05-25
TX00131,775.77,775.77,Matched,2026-05-03
TX00132,287.68,287.68,Matched,2026-06-08
TX00133,448.83,399.6,Mismatch,2026-01-26
TX00134,1257.88,1257.88,Matched,2026-06-01
TX00136,158.0,158.0,Matched,2026-05-16
TX00137,904.4,904.4,Matched,2026-06-17
TX00138,206.04,206.04,Matched,2026-04-03
TX00139,1720.96,1720.96,Matched,2026-01-19
TX00140,1237.05,1237.05,Matched,2026-03-12
TX00141,662.75,662.75,Matched,2026-03-19
TX00142,592.08,592.08,Matched,2026-06-21
TX00144,922.18,922.18,Matched,2026-04-16
TX00145,377.98,377.98,Matched,2026-06-26
TX00146,632.85,632.85,Matched,2026-03-24
TX00147,1086.96,1086.96,Matched,2026-03-20
TX00148,321.33,321.33,Matched,2026-06-04
TX00149,306.81,253.34,Mismatch,2026-05-03
TX00150,187.69,187.69,Matched,2026-04-09
TX00151,209.6,209.6,Matched,2026-03-27
TX00153,963.29,963.29,Matched,2026-05-18
TX00154,2410.47,2410.47,Matched,2026-04-01
TX00155,1739.81,1739.81,Matched,2026-01-08
TX00156,130.04,130.04,Matched,2026-01-23
TX00157,959.23,959.23,Matched,2026-01-28
TX00158,1735.05,1735.05,Matched,2026-03-28
TX00159,351.32,351.32,Matched,2026-04-25
TX00160,564.66,564.66,Matched,2026-05-27
TX00161,94.0,94.0,Matched,2026-02-15
TX00162,649.84,649.84,Matched,2026-05-27
TX00163,209.76,209.76,Matched,2026-05-04
TX00164,613.81,613.81,Matched,2026-01-13
TX00165,137.41,131.32,Mismatch,2026-03-07
TX00166,821.74,821.74,Matched,2026-02-25
TX00167,1237.48,1237.48,Matched,2026-06-11
TX00168,266.21,266.21,Matched,2026-06-18
TX00169,197.08,197.08,Matched,2026-06-01
TX00170,82.88,82.88,Matched,2026-04-07
TX00171,413.04,413.04,Matched,2026-04-04
TX00172,315.97,315.97,Matched,2026-03-01
TX00174,761.33,761.33,Matched,2026-01-18
TX00175,353.37,353.37,Matched,2026-02-23
TX00177,323.31,323.31,Matched,2026-04-01
TX00178,1287.69,0.0,Unsettled,2026-02-28
TX00179,864.8,864.8,Matched,2026-02-07
TX00180,463.81,463.81,Matched,2026-03-12
TX00181,876.77,876.77,Matched,2026-06-07
TX00182,193.1,193.1,Matched,2026-04-15
TX00183,532.46,532.46,Matched,2026-05-31
TX00184,587.12,550.97,Mismatch,2026-06-19
TX00185,347.46,347.46,Matched,2026-06-15
TX00188,798.99,798.99,Matched,2026-06-16
TX00189,828.06,828.06,Matched,2026-06-26
TX00190,43.4,20.6,Mismatch,2026-03-08
TX00191,1424.76,1423.06,Mismatch,2026-02-13
TX00193,306.85,306.85,Matched,2026-06-19
TX00194,1238.36,1238.36,Matched,2026-06-15
TX00195,395.56,395.56,Matched,2026-04-17
TX00196,148.97,148.97,Matched,2026-01-29
TX00197,204.45,204.45,Matched,2026-03-19
TX00198,1240.0,1240.0,Matched,2026-05-14
TX00200,1352.41,1330.18,Mismatch,2026-03-05
TX00201,494.31,494.31,Matched,2026-03-06
TX00202,188.0,188.0,Matched,2026-01-15
TX00203,315.56,315.56,Matched,2026-02-24
TX00204,218.19,218.19,Matched,2026-05-04
TX00205,1081.7,1041.36,Mismatch,2026-02-14
TX00206,965.42,965.42,Matched,2026-07-03
TX00207,120.15,120.15,Matched,2026-01-18
TX00208,367.58,367.58,Matched,2026-04-21
TX00209,248.71,248.71,Matched,2026-04-04
TX00210,1555.39,1555.39,Matched,2026-06-02
TX00211,164.42,164.42,Matched,2026-06-11
TX00212,2025.55,2025.55,Matched,2026-04-11
TX00213,503.56,485.77,Mismatch,2026-04-26
TX00215,291.29,291.29,Matched,2026-04-08
TX00217,175.31,175.31,Matched,2026-03-20
TX00218,561.49,561.49,Matched,2026-02-17
TX00219,182.41,135.0,Mismatch,2026-03-29
TX00220,81.18,81.18,Matched,2026-04-24
TX00221,375.13,375.13,Matched,2026-02-11
TX00222,111.9,111.9,Matched,2026-02-19
TX00223,273.33,273.33,Matched,2026-05-31
TX00225,247.02,247.02,Matched,2026-02-06
TX00226,2837.9,2837.9,Matched,2026-05-12
TX00227,543.46,543.46,Matched,2026-05-13
TX00229,114.44,114.44,Matched,2026-05-22
TX00230,297.12,297.12,Matched,2026-07-01
TX00231,622.04,622.04,Matched,2026-04-18
TX00232,216.84,0.0,Unsettled,2026-02-23
TX00233,1120.86,1120.86,Matched,2026-06-07
TX00234,186.37,186.37,Matched,2026-02-19
TX00235,406.1,343.26,Mismatch,2026-02-23
TX00238,300.54,300.54,Matched,2026-03-05
TX00239,411.47,411.47,Matched,2026-05-15
TX00240,423.81,423.81,Matched,2026-06-18
TX00241,277.49,277.49,Matched,2026-05-29
TX00242,782.37,777.11,Mismatch,2026-01-03
TX00243,634.37,634.37,Matched,2026-05-04
TX00244,480.43,480.43,Matched,2026-02-03
TX00245,359.28,359.28,Matched,2026-06-06
TX00248,399.14,399.14,Matched,2026-02-04
TX00249,566.22,566.22,Matched,2026-03-22
TX00250,2190.97,2190.97,Matched,2026-02-13
TX00251,165.79,133.21,Mismatch,2026-05-30
TX00252,996.63,954.44,Mismatch,2026-03-17
TX00254,623.08,623.08,Matched,2026-01-15
